event_type,template,<arg1>,<arg2>,<arg3>,<arg4>,<arg5>,<arg6>
Contact.Contact.Broadcast, <arg1> communicated to <arg2> about <arg3> using <arg4> at <arg5> ,Communicator,Recipient,Topic,Instrument,Place,
Contact.Contact.Correspondence, <arg1> communicated remotely with <arg1> about <arg2> using Instrument at <arg3> ,Participant,Topic,Place,,,
Contact.Contact.Meet, <arg1> met face-to-face with <arg1> about <arg2> at <arg3> ,Participant,Topic,Place,,,
Contact.Contact.Unspecified, <arg1> communicated with <arg1> about <arg2> at <arg3> ,Participant,Topic,Place,,,
Contact.RequestCommand.Unspecified, <arg1> communicated with <arg2> about Topic at <arg3> ,Communicator,Recipient,Place,,,
Contact.RequestCommand.Broadcast, <arg1> communicated with <arg2> about Topic at Place ,Communicator,Recipient,,,,
Contact.RequestCommand.Meet, <arg1> communicated with <arg2> about Topic at Place ,Communicator,Recipient,,,,
Contact.ThreatenCoerce.Unspecified, <arg1> communicated with <arg2> about Topic at Place ,Communicator,Recipient,,,,
Contact.ThreatenCoerce.Broadcast, <arg1> communicated with <arg2> about Topic at Place ,Communicator,Recipient,,,,
Contact.ThreatenCoerce.Correspondence, <arg1> communicated with <arg2> about Topic at Place ,Communicator,Recipient,,,,
Control.ImpedeInterfereWith.Unspecified, <arg1> impeded or interfered with ImpededEvent at <arg2> ,Impeder,Place,,,,
Disaster.Crash.Unspecified, DriverPassenger in <arg1> crashed into <arg2> at <arg3> ,Vehicle,CrashObject,Place,,,
Disaster.DiseaseOutbreak.Unspecified, <arg1> broke out among <arg2> or population at <arg3> ,Disease,Victim,Place,,,
GenericCrime.GenericCrime.GenericCrime, <arg1> committed a crime against <arg2> at <arg3> ,Perpetrator,Victim,Place,,,
Justice.Acquit.Unspecified, JudgeCourt acquitted <arg1> of Crime in Place ,Defendant,,,,,
Justice.ArrestJailDetain.Unspecified, <arg1> arrested or jailed <arg2> for Crime at <arg3> ,Jailer,Detainee,Place,,,
Justice.ChargeIndict.Unspecified, <arg1> charged or indicted <arg2> before <arg3> for Crime in <arg4> ,Prosecutor,Defendant,JudgeCourt,Place,,
Justice.Convict.Unspecified, <arg1> convicted <arg2> of Crime in Place ,JudgeCourt,Defendant,,,,
Justice.InvestigateCrime.Unspecified, <arg1> observed <arg2> while <arg3> investigated <arg3> for Crime in <arg4> ,Observer,ObservedEntity,Investigator,Defendant,Place,
Justice.ReleaseParole.Unspecified, <arg1> released or paroled <arg2> from Crime in Place ,JudgeCourt,Defendant,,,,
Justice.Sentence.Unspecified, <arg1> sentenced <arg2> for Crime to Sentence in <arg3> ,JudgeCourt,Defendant,Place,,,
Justice.TrialHearing.Unspecified, <arg1> tried <arg2> before <arg3> for Crime in <arg4> ,Prosecutor,Defendant,JudgeCourt,Place,,
Life.Die.Unspecified," <arg1> died at <arg2> from MedicalIssue, killed by <arg3> ",Victim,Place,Killer,,,
Life.Infect.Unspecified, <arg1> was infected with InfectingAgent from Source at Place ,Victim,,,,,
Life.Injure.Unspecified, <arg1> was injured by <arg2> using <arg3> in <arg4> with MedicalCondition at Place ,Victim,Injurer,Instrument,BodyPart,,
Medical.Intervention.Unspecified, <arg1> treated <arg2> for MedicalIssue with Instrument Means at <arg3> ,Treater,Patient,Place,,,
Movement.Transportation.Evacuation, <arg1> transported <arg2> in Vehicle from <arg3> Place to <arg4> Place  ,Transporter,PassengerArtifact,Origin,Destination,,
Movement.Transportation.IllegalTransportation, <arg1> illegally transported <arg2> in <arg3> from Origin Place  to <arg4> Place ,Transporter,PassengerArtifact,Vehicle,Destination,,
Movement.Transportation.PreventPassage, <arg1> prevents <arg2> from entering <arg3> Place  from <arg4> Place to transport <arg5> using <arg6> ,Preventer,Transporter,Destination,Origin,PassengerArtifact,Vehicle
Movement.Transportation.Unspecified, <arg1> transported <arg2> in <arg3> from <arg4> Place to <arg5> Place ,Transporter,PassengerArtifact,Vehicle,Origin,Destination,
Personnel.EndPosition.Unspecified, <arg1> stopped working in Position at <arg2> organization in Place ,Employee,PlaceOfEmployment,,,,
Personnel.StartPosition.Unspecified, <arg1> started working in Position at <arg2> organization in Place ,Employee,PlaceOfEmployment,,,,
Transaction.Donation.Unspecified, <arg1> gave <arg2> to <arg3> for the benefit of Beneficiary at Place ,Giver,ArtifactMoney,Recipient,,,
Transaction.ExchangeBuySell.Unspecified," <arg1> bought, sold, or traded <arg2> to <arg3> in exchange for <arg4> for the benefit of Beneficiary at Place ,end",Giver,AcquiredEntity,Recipient,PaymentBarter,,
